应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
涉路施工公路施工作业验收;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000718001000&taskType=07&taskHandleItem=116200000138979102200071800100001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\涉路施工公路施工作业验收.png;
经济专业技术资格（初级、中级）;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\经济专业技术资格（初级、中级）.png;
停工留薪期确认和延长确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007020/002014007020;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007020/002014007020;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\停工留薪期确认和延长确认.png;
导游资格考试报名;https://c-dy.exam-sp.com/#/default/dy2020;https://c-dy.exam-sp.com/#/default/dy2020;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\导游资格考试报名.png;
依据档案记载出具相关证明;http://36.142.15.42:8088/ggfw/business?modelId=agIssueCertificatesForGovPerUC&clientId=3;https://zwfw.gansu.gov.cn/gsjis/sso/login?client_id=ggsrsxxhbmfw&utype=0&goto=http%3A%2F%2F36.142.15.42%3A8088%2Fggfw%2Fbusiness%3FmodelId%3DagIssueCertificatesForGovPerUC%26clientId%3D3;不一致;302;应用存在;None;pics\2022_06_07_21_00_00\依据档案记载出具相关证明.png;
往来港澳通行证失效重新申请;https://gat.gansu.gov.cn;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\往来港澳通行证失效重新申请.png;
全国会计专业技术高级资格考试;http://kzp.mof.gov.cn/;http://kzp.mof.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\全国会计专业技术高级资格考试.png;
道路交通事故处理结果网上查询;https://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\道路交通事故处理结果网上查询.png;
道路交通事故处理进度网上查询;http://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\道路交通事故处理进度网上查询.png;
延期审验机动车驾驶证;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\延期审验机动车驾驶证.png;
社会保障卡信息变更;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=4;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\社会保障卡信息变更.png;
注册城乡规划师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\注册城乡规划师.png;
二级造价工程师执业资格认定（注销注册）;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=zjs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalXCRYweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\二级造价工程师执业资格认定（注销注册）.png;
国务院政府特殊津贴管理发放;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014207006/002014207006;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014207006/002014207006;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\国务院政府特殊津贴管理发放.png;
二级注册建筑师执业资格认定（延续注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzs&action=yxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\二级注册建筑师执业资格认定（延续注册）.png;
普通高中毕业证书遗失办理;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_21_00_00\普通高中毕业证书遗失办理.png;
往来台湾通行证首次申请;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\往来台湾通行证首次申请.png;
赴台个人旅游签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e1;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e1;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\赴台个人旅游签注签发.png;
入境团队旅游邀请函;http://iae.cs.mfa.gov.cn/;http://iae.mfa.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\入境团队旅游邀请函.png;
补领机动车检验合格标志;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=973323a099c541e5e055000000000001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=973323a099c541e5e055000000000001;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\补领机动车检验合格标志.png;
住院伙食补助费申领;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007022/002014007022;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007022/002014007022;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\住院伙食补助费申领.png;
职称申报评审;http://www.gszcxt.cn/;http://gszcxt.cn/zcxt;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\职称申报评审.png;
大型焰火燃放作业人员资格证明核发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=402883385fa8e766015fa917bqq30016;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=402883385fa8e766015fa917bqq30016;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\大型焰火燃放作业人员资格证明核发.png;
交通违法罚款缴款;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\交通违法罚款缴款.png;
取消考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\取消考试预约.png;
甘肃电力-用电用户其他办电项目-恢复;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket81416262296590949425623849369644&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\甘肃电力-用电用户其他办电项目-恢复.png;
全省中等职业学校教师系列高级职称和省直中等职业学校教师系列中级职称评审;http://gszcxt.cn/zcxt;http://gszcxt.cn/zcxt;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\全省中等职业学校教师系列高级职称和省直中等职业学校教师系列中级职称评审.png;
赴台团队旅游签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\赴台团队旅游签注签发.png;
举办台湾地区的文艺表演团体、个人参加的营业性演出增加演出地备案;http://ccm.mct.gov.cn/;http://ccm.mct.gov.cn/ccnt/hbase/index.html;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\举办台湾地区的文艺表演团体、个人参加的营业性演出增加演出地备案.png;
船舶国籍证书核发;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118050000&taskType=01&taskHandleItem=&code=90000&ticket=naturalTicket68630839067252987615706379998856&authCode=mzEHLwxT7RnhA4wSBoxmVjYnLvV3cluhAe&flag=true;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\船舶国籍证书核发.png;
前往港澳通行证补发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\前往港澳通行证补发.png;
执业药师（药学、中药学）;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\执业药师（药学、中药学）.png;
特级教师评选;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_21_00_00\特级教师评选.png;
地名审批或核准;http://61.178.59.16:55003/netHandle/api/management/commonAccept?TaskCode=11620000013897654H2000711018000&taskHandleItem=11620000013897654H200071101800001;http://61.178.59.16:55003/netHandle/index?taskCode=11620000013897654H2000711018000&taskHandleItem=11620000013897654H200071101800001&token=naturalToken9861983874968846083476668892342124764913967543391855346114447003;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\地名审批或核准.png;
机关事业单位养老保险关系转移接续申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006013/002014006013;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006013/002014006013;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\机关事业单位养老保险关系转移接续申请.png;
国家科学技术奖励提名项目审核;https://xm.gskeju.cn/egrantweb/;https://xm.gskeju.cn/egrantweb/;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\国家科学技术奖励提名项目审核.png;
考试预约;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\考试预约.png;
股权出质的设立;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200001;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200073100200001&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketjlicLDg1QI54XsNcIScAls1mZoFB0kE6&state=-269575230;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\股权出质的设立.png;
一次性工伤医疗补助金申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007024/002014007024;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007024/002014007024;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\一次性工伤医疗补助金申请.png;
解除备案机动车;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\解除备案机动车.png;
涉外、涉港澳台、涉华侨结婚登记;http://hygl.mca.gov.cn/;http://hygl.mca.gov.cn/;一致;404;应用存在;None;pics\2022_06_07_21_00_00\涉外、涉港澳台、涉华侨结婚登记.png;
从业人员信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009055000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009055000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_21_00_00\从业人员信息自主填报.png;
中央机关及其直属机构考试录用公务员笔试甘肃考区报名确认;http://bm.scs.gov.cn/pp/gkweb/core/web/ui/business/home/gkhome.html;http://bm.scs.gov.cn/pp/gkweb/core/web/ui/business/home/gkhome.html;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\中央机关及其直属机构考试录用公务员笔试甘肃考区报名确认.png;
身份证办理进度查询;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=19;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/chaxun/index?id=19;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\身份证办理进度查询.png;
劳动人事争议仲裁申请;http://36.142.15.42:8088/ggfw/business?modelId=f6963f59f9504763a315c65b869e73ee&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=f6963f59f9504763a315c65b869e73ee&clientId=3&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicketeJPIlwEmNkn4hoMD8ihJIHso7gn8mVmb&state=-2099993704;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\劳动人事争议仲裁申请.png;
合伙企业变更登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300052;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200013100300052&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&ticket=naturalTicket0Ekg4IiKsaG9DIoCl6gaAyR6j2rLVJUe&state=601752338;不一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\合伙企业变更登记.png;
监管场所会见网上预约;https://gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=7f8fb01529d9d086e050015ff20af074;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_21_00_00\监管场所会见网上预约.png;
二级注册建筑师执业资格认定（初始注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jzs&action=cszc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\二级注册建筑师执业资格认定（初始注册）.png;
甘肃电力-用电用户其他办电项目-分户;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket29409021174705063924665790902259&authCode=RFeDGtrZb5P4dozw5XqQiVshaG2fRT62jZ&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\甘肃电力-用电用户其他办电项目-分户.png;
民用爆炸物品公共安全监督;http://zwfw.gat.gansu.gov.cn:28081/mbxtwlfwpt;http://zwfw.gat.gansu.gov.cn:28081/mbxtwlfwpt/loginService.do?method=getFbxx;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\民用爆炸物品公共安全监督.png;
补换领机动车号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\补换领机动车号牌.png;
社会保障卡补领、换领、换发;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=5;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\社会保障卡补领、换领、换发.png;
城镇职工基本养老保险关系转移接续申请;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006012/002014006012;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014006012/002014006012;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\城镇职工基本养老保险关系转移接续申请.png;
领取一级至四级伤残职工工伤保险长期待遇资格认证;https://wsbs.rst.gansu.gov.cn/index;https://wsbs.rst.gansu.gov.cn/index;一致;200;应用存在;不匹配;pics\2022_06_07_21_00_00\领取一级至四级伤残职工工伤保险长期待遇资格认证.png;
新能源汽车换发号牌预选号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_21_00_00\新能源汽车换发号牌预选号牌.png;
