应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
甘肃电力-用电用户开通峰谷电;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket03410471222181458398375570980755&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户开通峰谷电.png;
举行集会游行示威许可;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C53F52D6FA1EA835E055000000000001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=C53F52D6FA1EA835E055000000000001;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\举行集会游行示威许可.png;
注册测绘师资格的注册审查;http://rsurveyor.ch.mnr.gov.cn/XZSP/Classification.html;https://rsurveyor.ch.mnr.gov.cn/XZSP/Classification.html;不一致;412;应用存在;None;pics\2022_06_07_17_31_54\注册测绘师资格的注册审查.png;
实有单位信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009056000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009056000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_17_31_54\实有单位信息自主填报.png;
异地安置退休人员备案;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=OffsetRecord&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/OffsetRecord;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\异地安置退休人员备案.png;
转诊转院申请确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007015/002014007015;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007015/002014007015;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\转诊转院申请确认.png;
查询出入境记录;https://s.nia.gov.cn/mps/main.html;https://s.nia.gov.cn/mps/main.html;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\查询出入境记录.png;
职称证书管理;http://www.gszcxt.cn/;http://gszcxt.cn/zcxt;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\职称证书管理.png;
档案接收;http://36.142.15.42:8088/ggfw/business?modelId=agArchReceiveForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agArchReceiveForGovPerUC&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketw987jQTyyb9tgqRCrhDNji23BTGvALhA&state=1476434143;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\档案接收.png;
分公司设立登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300006;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300006&code=90000&ticket=naturalTicket48927806569482028676637948800930&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\分公司设立登记.png;
船员适任证书核发;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=269b48b2-6da3-46e9-82d9-59ac35860140;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=0c3795fd-4511-4578-872b-fd6e0d6f1358;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\船员适任证书核发.png;
合伙企业分支机构变更登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300055;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govUnRegLogin.do?sid=11620000MB1663770A200013100300055&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketIJBixWUd0BfGGxUHb9QFGwjIDjxb9JtU&state=-375479420;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\合伙企业分支机构变更登记.png;
船舶最低安全配员证书核发;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=e405433b-41ae-46c4-a177-383e7b7a1fc3;http://111.205.224.41:8004/crew_dce/pub/contentIframe.action?d=45f0b334-041a-4784-a39c-9b1b3f5ffb49;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\船舶最低安全配员证书核发.png;
养老保险待遇发放账户维护申请（城镇企业职工基本养老保险）;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014002003/002014002003;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014002003/002014002003;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\养老保险待遇发放账户维护申请（城镇企业职工基本养老保险）.png;
注册设备监理师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\注册设备监理师.png;
统筹地区以外交通、食宿费申领;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007023/002014007023;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007023/002014007023;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\统筹地区以外交通、食宿费申领.png;
高校教师资格证书补换发;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\高校教师资格证书补换发.png;
基本医疗保险参保人员享受门诊慢特病病种待遇认定;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=SlowMentApplicationApply&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/SlowMentApplicationApply;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\基本医疗保险参保人员享受门诊慢特病病种待遇认定.png;
社会保障卡启用（含社会保障卡银行账户激活）;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=2;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会保障卡启用（含社会保障卡银行账户激活）.png;
涉外收养登记;http://61.178.59.16:55003/appfront/#/see_module?id=890634179392307200;http://61.178.59.16:55003/appfront/#/see_module?id=890634179392307200;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\涉外收养登记.png;
省科学技术普及奖励;https://xm.gskeju.cn/egrantweb/;https://xm.gskeju.cn/egrantweb/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\省科学技术普及奖励.png;
赴台应邀签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\赴台应邀签注签发.png;
建筑施工特种作业人员操作资格考核;http://61.178.32.163:84/GSJZJGCollection/DesktopModules/SpecialPerson/SpecialPersonEnrollForPersonal.aspx;http://61.178.32.163:84/GSJZJGCollection/DesktopModules/SpecialPerson/SpecialPersonEnrollForPersonal.aspx;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\建筑施工特种作业人员操作资格考核.png;
工伤康复申请确认;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007016/002014007016;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007016/002014007016;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\工伤康复申请确认.png;
资产评估师全国统一考试;http://www.gsicpa.net;http://www.gsicpa.net/;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\资产评估师全国统一考试.png;
在公路增设或改造平面交叉道口审批;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118008000&taskType=01&taskHandleItem=116200000138979102200011800800001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\在公路增设或改造平面交叉道口审批.png;
合伙企业设立登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300051;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300051&code=90000&ticket=naturalTicket57040905340010992911972672743613&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\合伙企业设立登记.png;
土地调查工作中做出突出贡献奖励;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000815001000&TaskHandleItem=11620000MB1674680L200081500100001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\土地调查工作中做出突出贡献奖励.png;
股权出质的撤销;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200003;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200073100200003&code=90000&ticket=naturalTicket89904456292335396805579852402585&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\股权出质的撤销.png;
勘察设计注册工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\勘察设计注册工程师.png;
开具无犯罪记录证明;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=df8291ab5fb86fc4015fb87702e10001;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=df8291ab5fb86fc4015fb87702e10001;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\开具无犯罪记录证明.png;
开具个人所得税纳税记录;https://etax.chinatax.gov.cn/;https://etax.chinatax.gov.cn/?hkmFR120=kaqKcAc_X.j_X.j_X9Exb_Kyth6L4u36kkcByCaQIDVqqqqqqqqqqqqqXG;不一致;404;应用存在;None;pics\2022_06_07_17_31_54\开具个人所得税纳税记录.png;
全省县以下基层中小学教师高级职称评审;http://gszcxt.cn/zcxt;http://gszcxt.cn/zcxt;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\全省县以下基层中小学教师高级职称评审.png;
机动车转籍申请;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\机动车转籍申请.png;
公路建筑控制区内埋设管线、电缆等设施许可;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118032000&taskType=01&taskHandleItem=116200000138979102200011803200001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\公路建筑控制区内埋设管线、电缆等设施许可.png;
甘肃电力-低压居民用户的增容用电;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket61689855179399461541647363531667&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-低压居民用户的增容用电.png;
土地开垦区内开发未确定使用权的国有土地从事生产审查;https://zwfw.gansu.gov.cn/gsjis/natural/newJAdByContry?LinkAddr=http://36.142.15.6:11111/diit-qdyjj-web/login/loginTrust?taskCode=11620000MB1674680L2000115014000&TaskHandleItem=11620000MB1674680L200011501400001;http://36.142.15.6:11111/diit-qdyjj-web/xjzwfw/zwfw/iframepagedemo.jsp;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\土地开垦区内开发未确定使用权的国有土地从事生产审查.png;
开具税收完税证明;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/sbzx-web/apps/views/wszm_kj_bgs/wszm_kj_bgs.html?id=30040180&code=30040180;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?code=90000&ticket=naturalTicket54796536793244902114917005269720&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\开具税收完税证明.png;
二级造价工程师执业资格认定（增项注册）;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=zjs&action=zxzc;http://zcry.gsszczx.com:84/ciacuserportalXCRYweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级造价工程师执业资格认定（增项注册）.png;
科技成果登记（省级）;https://xm.gskeju.cn;https://xm.gskeju.cn/egrantweb/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\科技成果登记（省级）.png;
本地二手车过户预选号牌;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\本地二手车过户预选号牌.png;
国内人员住宿登记;http://61.178.81.225:1001/hotel;http://61.178.81.225:1001/hotel/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\国内人员住宿登记.png;
台湾居民来往大陆通行证（五年多次有效）;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa82d5a00695;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa82d5a00695;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\台湾居民来往大陆通行证（五年多次有效）.png;
二级注册结构工程师执业资格认定（延续注册）;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=http://zcry.gsszczx.com:84/ciacuserportalxcryweb/SSO/logings.aspx?zczylx=jgs&action=yxzc;http://zcry.gsszczx.com:84/ciacuserportalxcryweb/Gryh/GsLoginMsg?code=%e6%9d%8e%e9%87%8d%e9%98%b3140522199511010014;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级注册结构工程师执业资格认定（延续注册）.png;
往来港澳探亲签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来港澳探亲签注签发.png;
基础教育教学成果奖评选;http://www.gsier.com.cn/;https://www.gsier.com.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\基础教育教学成果奖评选.png;
合伙企业分支机构设立登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300054;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300054&code=90000&ticket=naturalTicket70540765734971768547245289156861&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\合伙企业分支机构设立登记.png;
互联网学法减分;http://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\互联网学法减分.png;
伤残待遇申领（一次性伤残补助金、伤残津贴和生活护理费）;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007026/002014007026;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007026/002014007026;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\伤残待遇申领（一次性伤残补助金、伤残津贴和生活护理费）.png;
外国企业常驻代表机构注销;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700003;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100700003&code=90000&ticket=naturalTicket73047282579325572155758704762836&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\外国企业常驻代表机构注销.png;
档案转出;http://36.142.15.42:8088/ggfw/business?modelId=agArchTransOutForGovPerUC&clientId=3;http://36.142.15.42:8088/ggfw/business?modelId=agArchTransOutForGovPerUC&clientId=3&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&ticket=naturalTicketnTpBWIGRxdvJ7eb5Wuttv7V1RyyYHxCh&state=-1621083250;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\档案转出.png;
转移接续手续办理;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=TrafInApply&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/TrafInApply;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\转移接续手续办理.png;
执业药师再次注册;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\执业药师再次注册.png;
甘肃电力-用电用户其他办电项目-销户;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket44265706771947367760217509906419&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃电力-用电用户其他办电项目-销户.png;
《食品生产许可证》补办;http://124.152.25.55:8093/ZwfwLogin/SsoLoginNew.aspx?sid=11620000MB1663770A200013102300011;http://124.152.25.55:8093/Company/Cert/CertReIssue/List.aspx?Type=SPSC;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\《食品生产许可证》补办.png;
社会保障卡挂失与解挂;http://wsbs.rst.gansu.gov.cn/private/nav/sb_sbxxcx?type=3;http://wsbs.rst.gansu.gov.cn/login;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\社会保障卡挂失与解挂.png;
法律职业资格认定;http://zwfw.12348.gov.cn;https://zwfw.12348.gov.cn/?type=govCallbackTicket&ticket=8fb8d148f3f74b32ba0bcbeb4cde569d660f90dd8239e6d38e3ae29faa5b2554;不一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\法律职业资格认定.png;
变更驾驶证联系方式;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\变更驾驶证联系方式.png;
涉外、涉港澳台、涉华侨离婚登记;http://hygl.mca.gov.cn/;http://hygl.mca.gov.cn/;一致;404;应用存在;None;pics\2022_06_07_17_31_54\涉外、涉港澳台、涉华侨离婚登记.png;
实有人口信息自主填报;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009057000&taskHandleitem=;https://zwfw.gat.gansu.gov.cn/instruction?taskCode=11620000013897638U2622009057000&taskHandleitem=;一致;404;应用存在;None;pics\2022_06_07_17_31_54\实有人口信息自主填报.png;
全省艺术系列、图书资料系列中级职称资格评审认定;http://www.gszcxt.cn/zcsb;http://www.gszcxt.cn/zcsb;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\全省艺术系列、图书资料系列中级职称资格评审认定.png;
电动自行车CCC认证网上查询;http://61.178.81.174:1990/query1;http://61.178.81.174:1990/query1;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\电动自行车CCC认证网上查询.png;
合伙企业注销登记;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300050;https://djzc.scjg.gansu.gov.cn/gsaicEn/govLogin!govLogin.do?sid=11620000MB1663770A200013100300050&code=90000&ticket=naturalTicket17256805503525323882171255065386&authCode=OsnD5gutOz1rBlnOxctU9OX3VsI3YyPV5E&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\合伙企业注销登记.png;
在内河通航水域进行可能影响通航安全的备案;http://111.205.224.41:8001/cbdj_sb/zwfwsb/zwfwLogin.action?code=90000&ticket=c88b233770ee43ab9808c942329b6958439eace11bba4c04f0cefbfeff8a8e28;https://login.msa.gov.cn/tacs-uc/login/index;不一致;302;应用存在;None;pics\2022_06_07_17_31_54\在内河通航水域进行可能影响通航安全的备案.png;
驾驶证数据更新;https://gs.122.gov.cn/;https://gs.122.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\驾驶证数据更新.png;
甘肃省科技进步奖;https://xm.gskeju.cn;https://xm.gskeju.cn/egrantweb/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\甘肃省科技进步奖.png;
前往港澳通行证换发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb20690;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\前往港澳通行证换发.png;
一级造价工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\一级造价工程师.png;
网上报案;https://gat.gansu.gov.cn;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\网上报案.png;
工伤医疗（康复）费用申报;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007021/002014007021;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014007021/002014007021;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\工伤医疗（康复）费用申报.png;
执业药师首次注册;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;https://zwfw.nmpa.gov.cn/web/user/login?backUrl=/web/ssologin/QGZYYSZCGLXXXT?returnUrl=/login.action?method=goin;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\执业药师首次注册.png;
甘肃省专利奖;http://61.178.109.106:9099/;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\甘肃省专利奖.png;
在公路桥梁跨越的河道上下游疏浚安全作业确认;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022620718020000&taskType=07&taskHandleItem=116200000138979102262071802000001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\在公路桥梁跨越的河道上下游疏浚安全作业确认.png;
往来台湾通行证补发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\往来台湾通行证补发.png;
跨越、穿越公路修建桥梁、渡槽或者架设、埋设管道、电缆等设施，及在公路用地范围内架设、埋设管线、电缆等设施，或者利用公路桥梁、公路隧道、涵洞铺设电缆等设施许可;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000118031000&taskType=01&taskHandleItem=116200000138979102200011803100002;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\跨越、穿越公路修建桥梁、渡槽或者架设、埋设管道、电缆等设施，及在公路用地范围内架设、埋设管线、电缆等设施，或者利用公路桥梁、公路隧道、涵洞铺设电缆等设施许可.png;
二级建造师资格考试报名;http://gansu.nomax.vip/tip/;http://gansu.nomax.vip/tip/stdlogin.do?method=fwdLoginPage;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\二级建造师资格考试报名.png;
农药登记初审;https://zwfw.moa.gov.cn/nyzw/index.html?redirectValue=46504#/homeList;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\农药登记初审.png;
台湾居民来往大陆通行证（三个月一次有效）;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa82d5a00695;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa82d5a00695;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\台湾居民来往大陆通行证（三个月一次有效）.png;
出境游名单审核;https://mr.mct.gov.cn/;https://mr.mct.gov.cn/;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\出境游名单审核.png;
收费公路的鉴定和验收;https://jtzw.gstscc.cn/zwfwbl/pages/matters/notice.html?taskCode=1162000001389791022000718002000&taskType=07&taskHandleItem=116200000138979102200071800200001;None;None;None;应用存在，但访问状态异常;None;pics\2022_06_07_17_31_54\收费公路的鉴定和验收.png;
赴台商务签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\赴台商务签注签发.png;
外省回甘甘肃籍生源毕业生在甘就业报到证改派;http://jyt.gansu.gov.cn/online_apply/index.xhtml;http://jyt.gansu.gov.cn/online_apply/index.xhtml;一致;412;应用存在;None;pics\2022_06_07_17_31_54\外省回甘甘肃籍生源毕业生在甘就业报到证改派.png;
无线电发射设备销售备案;https://wxdxsba.miit.gov.cn/;https://wxdxsba.miit.gov.cn/;一致;200;应用存在;匹配;pics\2022_06_07_17_31_54\无线电发射设备销售备案.png;
财产和行为税税源信息报告;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/zwfw/zwfw.html?url=https://etax.gansu.chinatax.gov.cn/sbzx-web/apps/views/caixing/caixing.html?id=202105&code=202105;https://etax.gansu.chinatax.gov.cn/bszm-web/apps/views/beforeLogin/indexBefore/pageIndex.html?qd=zwfw&type=zrr&success=true&message=&token=naturalToken7738962400381028932167324088553632964260495710148435179490761216&service=https%3A%2F%2Fetax.gansu.chinatax.gov.cn%2Fsbzx-web%2Fapps%2Fviews%2Fcaixing%2Fcaixing.html%3Fid%3D202105%26code%3D202105%26isRedict%3Dtrue#/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\财产和行为税税源信息报告.png;
特种设备检验、检测人员资格认定（换证）;http://gs.jyjcks.com;http://gs.jyjcks.com/web/default.do;不一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\特种设备检验、检测人员资格认定（换证）.png;
注册安全工程师;http://zg.cpta.com.cn/examfront/login/initLogin.htm;http://zg.cpta.com.cn/examfront/login/initLogin.htm;一致;200;应用存在;不匹配;pics\2022_06_07_17_31_54\注册安全工程师.png;
